match_status,match_distance_m,match_confidence,google_name,google_address_full,google_street,google_suburb,google_state,google_lat,google_lng,google_address_missing,fc_id,fc_name,fc_brand,fc_brand_group,fc_address_full,fc_street,fc_suburb,fc_state,fc_postcode,fc_lat,fc_lng,fc_fuel_types,fc_num_fuel_types,fc_price_DL_cents,fc_price_E10_cents,fc_price_E85_cents,fc_price_LPG_cents,fc_price_P95_cents,fc_price_P98_cents,fc_price_PDL_cents,fc_price_U91_cents,fc_has_price_outlier
matched,12.1,high,7-Eleven,"154-160 Parramatta Road & Corner Bold Street, Granville NSW 2142",154-160 Parramatta Road & Corner Bold Street,Granville NSW 2142,,-33.830140,151.010160,false,230,7-Eleven Granville,7-Eleven,7-Eleven,"154-160 Parramatta Road & Corner Bold Street, Granville NSW 2142",154-160 Parramatta Road & Corner Bold Street,Granville,NSW,2142,-33.830128,151.010030,"E10,P98,PDL,U91",4,,197.9,,,,223.9,289.9,199.9,false
matched,12.3,high,Shell Ultimo,"387 427 Wattle St, Ultimo NSW 2007",387 427 Wattle St,Ultimo NSW 2007,,-33.881392,151.196778,false,61,Coles Express Ultimo,Coles Express,Ampol,"387 427 Wattle St, Ultimo NSW 2007",387 427 Wattle St,Ultimo,NSW,2007,-33.881355,151.196904,"DL,E10,P95,P98",4,269.9,183.9,,,201.4,210.9,,,false
matched,12.5,high,Metro Petroleum Pendle Hill,"229 Wentworth Avenue, Pendle Hill NSW 2145",229 Wentworth Avenue,Pendle Hill NSW 2145,,-33.800343,150.955839,false,2085,Metro Pendle Hill,Metro Fuel,Metro,"229 Wentworth Avenue, Pendle Hill NSW 2145",229 Wentworth Avenue,Pendle Hill,NSW,2145,-33.800251,150.955916,"E10,PDL,U91",3,,197.9,,,,,289.9,199.9,false
matched,12.6,high,EG Ampol Strathfield,"287 Liverpool Road, Burwood NSW 2134",287 Liverpool Road,Burwood NSW 2134,,-33.885499,151.093633,false,526,EG Ampol Strathfield,EG Ampol,Ampol,"287 Liverpool Road, Burwood NSW 2134",287 Liverpool Road,Burwood,NSW,2134,-33.885396,151.093689,"E10,P95,P98,PDL,U91",5,,188.9,,,206.9,215.9,271.9,190.9,false
matched,12.6,high,Shell,"9 Albert Rd, Strathfield NSW 2135",9 Albert Rd,Strathfield NSW 2135,,-33.870914,151.092328,false,20249,Otr Strathfield,Shell,Shell,"9 Albert Rd, Strathfield NSW 2135",9 Albert Rd,Strathfield,NSW,2135,-33.870803,151.092355,"E10,P95,P98,PDL,U91",5,,183.9,,,203.4,212.9,273.9,185.9,false
matched,13.0,high,Shell,"877-879 Pacific Hwy, Chatswood NSW 2067",877-879 Pacific Hwy,Chatswood NSW 2067,,-33.791828,151.180516,false,34,Shell Reddy Express Chatswood,Reddy Express,Shell,"877-879 Pacific Hwy, Chatswood NSW 2067",877-879 Pacific Hwy,Chatswood,NSW,2067,-33.791717,151.180472,"DL,E10,P95,P98,U91",5,273.9,188.9,,,208.4,217.9,,190.9,false
matched,13.2,high,7-Eleven,"231-235 Great North Road, Five Dock NSW 2046",231-235 Great North Road,Five Dock NSW 2046,,-33.864871,151.129946,false,17146,7-Eleven Five Dock,7-Eleven,7-Eleven,"231-235 Great North Road, Five Dock NSW 2046",231-235 Great North Road,Five Dock,NSW,2046,-33.864910,151.130081,"E10,P95,P98,PDL,U91",5,,187.9,,,204.9,213.9,289.9,189.9,false
matched,13.5,high,7-Eleven,"1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074",1408 Pacific Highway (Corner Duff Street),Turramurra NSW 2074,,-33.733085,151.126370,false,295,7-Eleven Turramurra,7-Eleven,7-Eleven,"1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074",1408 Pacific Highway (Corner Duff Street),Turramurra,NSW,2074,-33.733062,151.126513,"E10,LPG,P95,P98,PDL,U91",6,,192.9,,127.9,209.9,218.9,289.9,194.9,false
matched,13.7,high,BP,"7 Northwood Rd, Longueville NSW 2066",7 Northwood Rd,Longueville NSW 2066,,-33.824461,151.172672,false,20150,Jack & Co Northwood,BP,BP,"7 Northwood Rd, Longueville NSW 2066",7 Northwood Rd,Longueville,NSW,2066,-33.824553,151.172574,"P95,P98,PDL",3,,,,,219.5,226.5,287.5,,false
matched,13.7,high,Metro Petroleum Croydon Park,"274 Georges River Rd, Croydon Park NSW 2133",274 Georges River Rd,Croydon Park NSW 2133,,-33.896803,151.103217,false,18616,Metro Fuel Croydon Park,Metro Fuel,Metro,"274 Georges River Rd, Croydon Park NSW 2133",274 Georges River Rd,Croydon Park,NSW,2133,-33.896926,151.103217,"E10,LPG,P98,PDL,U91",5,,184.9,,97.9,,206.9,269.9,186.9,false
