station_id,station_name,brand,address,lat,lng,first_seen_at,last_seen_at,snapshots_seen,days_seen_count,day_set,latest_fuel_types,fuel_types_ever,ever_had_U91,ever_had_E10,ever_had_E85,ever_had_P95,ever_had_P98,ever_had_DL,ever_had_PDL,ever_had_LPG,ever_had_EV,ever_had_B20
520,EG Ampol Seven Hills North,EG Ampol,"1/155 Prospect Highway, Seven Hills NSW 2147",-33.769545,150.942085,2026-04-02T19:08:37,2026-04-05T00:26:14,13,4,"2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
17278,EG Ampol Silverwater,EG Ampol,"154 Silverwater Rd, SILVERWATER NSW 2128",-33.8316714,151.0485448,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
526,EG Ampol Strathfield,EG Ampol,"287 Liverpool Road, Burwood NSW 2134",-33.885396,151.093689,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
663,EG Ampol Turramurra,EG Ampol,"1233 Pacific Highway, Turramurra NSW 2074",-33.73316,151.131317,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
2129,EG Ampol West Ryde,EG Ampol,"924 Victoria Rd, WEST RYDE NSW 2114",-33.810887,151.093485,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL",true,true,false,true,true,false,true,false,false,false
20544,Enhance Bass Hill,Enhance,"924 HUME HWY, BASS HILL NSW 2197",-33.89780824,150.99482385,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,E85,P98,PDL","U91,E10,E85,P98,PDL",true,true,true,false,true,false,true,false,false,false
18652,Enhance Camellia,Enhance,"17 GRAND AV, CAMELLIA NSW 2142",-33.820505,151.0356357,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05",DL,DL,false,false,false,false,false,true,false,false,false,false
18628,Enhance Eastwood,Enhance,"2 LOVELL RD, EASTWOOD NSW 2122",-33.7916291,151.0895436,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
1988,Enhance Homebush,Enhance,"242 Parramatta Road, Homebush NSW 2140",-33.861709,151.076405,2026-03-29T13:00:33,2026-04-05T00:26:14,20,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,DL,LPG","U91,E10,P98,DL,LPG",true,true,false,false,true,true,false,true,false,false
20100,Enhance Merrylands,Enhance,"506 MERRYLANDS RD, MERRYLANDS WEST NSW 2160",-33.83268678,150.96969038,2026-03-29T13:00:33,2026-04-05T00:26:14,22,8,"2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05","U91,E10,P98,PDL","U91,E10,P98,PDL",true,true,false,false,true,false,true,false,false,false
