station_id,station_name,brand,address,lat,lng,fuel_type,days_observed,days_available,days_unavailable,days_station_missing,first_unavailable_day,last_unavailable_day,longest_unavailable_streak_days,current_unavailable_streak_days,currently_unavailable,unavailability_rate_observed,latest_truth_fuel_types,fuel_types_ever
260,7-Eleven North Ryde,7-Eleven,"400 Lane Cove Road, North Ryde NSW 2113",-33.784477,151.128964,E10,12,9,3,0,2026-04-14,2026-04-18,3,3,true,0.2500,"U91,P98,PDL","U91,E10,P98,PDL"
942,Ampol Foodary Chatswood,Ampol Foodary,"572 Pacific Hwy, Chatswood NSW 2067",-33.803715,151.179001,E10,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
2204,Ampol Foodary Concord,Ampol Foodary,"87-89 Parramatta Rd, CONCORD NSW 2137",-33.867895,151.099444,P95,12,9,3,0,2026-04-02,2026-04-04,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18249,Ampol Foodary Crows Nest,Ampol Foodary,"111-121 Falcon Street, CROWS NEST NSW 2065",-33.8286801,151.2060304,P95,10,7,3,2,2026-03-31,2026-04-02,3,0,false,0.3000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18249,Ampol Foodary Crows Nest,Ampol Foodary,"111-121 Falcon Street, CROWS NEST NSW 2065",-33.8286801,151.2060304,P98,10,7,3,2,2026-03-31,2026-04-02,3,0,false,0.3000,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
18264,Ampol Foodary Lane Cove West,Ampol Foodary,"UNIT 1 237-245 BURNS BAY RD, LANE COVE WEST NSW 2066",-33.816452,151.1513941,PDL,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
16915,Ampol Foodary Lansvale,Ampol Foodary,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,P95,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
16915,Ampol Foodary Lansvale,Ampol Foodary,"141-151 Hume Highway Cnr Chadderton St, LANSVALE NSW 2166",-33.894328,150.957208,P98,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
834,Ampol Foodary North Ryde,Ampol Foodary,"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",-33.79145,151.131185,E10,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
834,Ampol Foodary North Ryde,Ampol Foodary,"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",-33.79145,151.131185,P95,12,9,3,0,2026-03-29,2026-03-31,3,0,false,0.2500,"U91,E10,P95,P98,PDL","U91,E10,P95,P98,PDL"
