station_id,station_name,brand,address,lat,lng,status,status_label,usual_fuel_types,usual_petrol_types,available_now,unavailable_now,usual_fuel_count,basis_fuel_count,unavailable_count,unavailable_ratio_pct,max_current_streak_days,completely_out_of_all_usual
240,7-Eleven Killara,7-Eleven,"494 Pacific Hwy, Killara NSW 2071",-33.771365,151.16108,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
249,7-Eleven Lansvale South,7-Eleven,"44 Hume Highway & Knight Street, Lansvale South NSW 2166",-33.891605,150.964966,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
250,7-Eleven Lindfield,7-Eleven,"238 Pacific Highway, Lindfield NSW 2070",-33.778889,151.168902,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
133,7-Eleven Merrylands,7-Eleven,"295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160",-33.835467,150.985311,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
141,7-Eleven Mosman,7-Eleven,"162A Spit Road (Corner Mitchell Road), Mosman NSW 2088",-33.817498,151.243383,green,All usual fuels available,"E10,U91","E10,U91","E10,U91",,2,2,0,0.0,0,false
154,7-Eleven Mosman,7-Eleven,"45 Spit Road, Mosman NSW 2088",-33.823058,151.243459,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
137,7-Eleven North Rocks,7-Eleven,"340 North Rocks Road, North Rocks NSW 2151",-33.768977,151.03069,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
260,7-Eleven North Ryde,7-Eleven,"400 Lane Cove Road, North Ryde NSW 2113",-33.784477,151.128964,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
264,7-Eleven Northmead,7-Eleven,"56 Windsor Road & Northmead Avenue, Northmead NSW 2152",-33.790961,150.997173,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
311,7-Eleven Northmead,7-Eleven,"137 Windsor Road, Northmead NSW 2152",-33.782288,150.997137,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
17121,7-Eleven Paddington,7-Eleven,"Cnr Oxford St & Greens Rd, PADDINGTON NSW 2021",-33.883242,151.220641,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
266,7-Eleven Parramatta,7-Eleven,"81 Victoria Road & Macarthur Street, Parramatta NSW 2150",-33.808768,151.014716,green,All usual fuels available,"E10,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,4,3,0,0.0,0,false
128,7-Eleven Pendle Hill,7-Eleven,"217 Wentworth Avenue (Corner Bungaree Road), Pendle Hill NSW 2145",-33.80187,150.957827,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
278,7-Eleven Roseville,7-Eleven,"Corner Pacific Highway and Boundary Street, Roseville NSW 2069",-33.78742,151.17982,green,All usual fuels available,"E10,LPG,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
283,7-Eleven Rozelle,7-Eleven,"178-184 Victoria Road (Corner Moodie Street), Rozelle NSW 2039",-33.862904,151.168131,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
262,7-Eleven Ryde,7-Eleven,"326-328 Blaxland Road, Ryde NSW 2112",-33.802513,151.100336,green,All usual fuels available,"E10,LPG,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
17142,7-Eleven Seven Hills,7-Eleven,"151 Prospect Hwy, SEVEN HILLS NSW 2147",-33.7689361,150.9426804,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
288,7-Eleven St Ives,7-Eleven,"157-159 Mona Vale Rd, ST IVES NSW 2075",-33.732665,151.156286,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
292,7-Eleven Strathfield South,7-Eleven,"575-585 Liverpool Road, Strathfield South NSW 2136",-33.887371,151.074269,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
295,7-Eleven Turramurra,7-Eleven,"1408 Pacific Highway (Corner Duff Street), Turramurra NSW 2074",-33.733062,151.126513,green,All usual fuels available,"E10,LPG,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,6,4,0,0.0,0,false
296,7-Eleven Wahroonga,7-Eleven,"1579 Pacific Highway (Corner Redleaf Avenue), Wahroonga NSW 2076",-33.719857,151.116805,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
211,7-Eleven West Pennant Hills,7-Eleven,"552 Pennant Hills Road, West Pennant Hills NSW 2125",-33.74687,151.050803,green,All usual fuels available,"E10,LPG,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
284,7-Eleven West Ryde,7-Eleven,"919 Victoria Road (Corner Hermitage Road), West Ryde NSW 2114",-33.80925,151.09346,green,All usual fuels available,"E10,P95,P98,PDL,U91","E10,P95,P98,U91","E10,P95,P98,U91",,5,4,0,0.0,0,false
17143,7-Eleven Yagoona,7-Eleven,"519 Hume Hwy, YAGOONA NSW 2199",-33.9076093,151.0207726,green,All usual fuels available,"E10,LPG,P98,PDL,U91","E10,P98,U91","E10,P98,U91",,5,3,0,0.0,0,false
